decision,scope,title,authors,year,journal,publisher,doi,landing_url,pdf_url,discovered_in,queries,existing_source_id,existing_title_score,validation_basis
hold,Global interbasin-transfer literature,The Impact Mechanism of Inter‐Basin Water Transfer on Fish Assemblages Was Revealed Using a Model of Terminal Reservoirs,Zhenhao Cheng | Anxiang Wang | Yujing Cui | Lei Gao | Fei Cheng | Fengyue Shu | Songguang Xie,2025,Ecology and Evolution,Wiley,10.1002/ece3.72459,https://doi.org/10.1002/ece3.72459,https://doi.org/10.1002/ece3.72459,DOAJ,inter-basin water transfer,,0.6364,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Impacts of water supply leakage and inter-basin water transfer on groundwater dynamics in Greater Jakarta,Wulan Seizarwati | Naota Hanasaki | Saritha Padiyedath Gopalan | Taikan Oki,2026,Journal of Hydrology: Regional Studies,Elsevier,10.1016/j.ejrh.2026.103121,http://www.sciencedirect.com/science/article/pii/S2214581826000194,http://www.sciencedirect.com/science/article/pii/S2214581826000194,Crossref | DOAJ,inter-basin water transfer,,0.75,resolving DOI
hold,Global interbasin-transfer literature,Justification criteria for Inter-Basin Water Transfer Projects,Laassilia Oussama | Ouazar Driss | Bouziane Ahmed | Hasnaoui Moulay Driss,2021,E3S Web of Conferences,EDP Sciences,10.1051/e3sconf/202131406001,https://www.e3s-conferences.org/articles/e3sconf/pdf/2021/90/e3sconf_wmad2021_06001.pdf,https://www.e3s-conferences.org/articles/e3sconf/pdf/2021/90/e3sconf_wmad2021_06001.pdf,Crossref | DOAJ,inter-basin water transfer,,0.625,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Legal Dimensions of Inter-Basin Water Transfer,Masoud Faryadi,2019,Faṣlnāmah-i Pizhūhish-i Huqūq-i ̒Umūmī,Allameh Tabataba'i University Press,10.22054/qjpl.2019.20557.1483,https://qjpl.atu.ac.ir/article_9962_239b2ec144bd934d450d0a0d35802abe.pdf,https://qjpl.atu.ac.ir/article_9962_239b2ec144bd934d450d0a0d35802abe.pdf,DOAJ,inter-basin water transfer,,0.7308,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Optimization of inter-basin water transfer projects: from macroeconomic impacts to technical hydraulic design,Hamed Hamzekhani | S. Jamshid Mousavi | Mohammad Vesal,2026,Scientific Reports,Nature Portfolio,10.1038/s41598-026-49232-5,https://doi.org/10.1038/s41598-026-49232-5,https://doi.org/10.1038/s41598-026-49232-5,Crossref | DOAJ,inter-basin water transfer,,0.7,resolving DOI
eligible,Global interbasin-transfer literature,"Exploring optimal joint operating rules for large-scale inter-basin water transfer projects with multiple water sources, diversion routes, and water demand areas",Huayu Zhong | Tao Liao | Guohua Fang | Kang Ren | Shiwei Zhang,2023,Journal of Hydrology: Regional Studies,Elsevier,10.1016/j.ejrh.2023.101504,http://www.sciencedirect.com/science/article/pii/S221458182300191X,http://www.sciencedirect.com/science/article/pii/S221458182300191X,DOAJ,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,Groundwater quality variability with inter-basin water transfer and overexploitation control in an agriculture-dominant subregion of North China Plain,Fei Liu | Congli Liu | Pinna Zhen | Xiaoshuai Guo | Shou Wang,2025,Agricultural Water Management,Elsevier,10.1016/j.agwat.2025.109660,http://www.sciencedirect.com/science/article/pii/S0378377425003749,http://www.sciencedirect.com/science/article/pii/S0378377425003749,DOAJ,inter-basin water transfer,,0.75,resolving DOI
hold,Global interbasin-transfer literature,Study on water resources optimal regulation of inter-basin water transfer project,Ma Jigang | Wang Haofang | Zhao Libin | Wei Song,2018,MATEC Web of Conferences,EDP Sciences,10.1051/matecconf/201824601006,https://doi.org/10.1051/matecconf/201824601006,https://doi.org/10.1051/matecconf/201824601006,Crossref | DOAJ,inter-basin water transfer,,0.6712,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Reservoir operation in the context of inter-basin water transfer,Maiara de Lemos Câmara | Joana Darc Freire de Medeiros | Adelena Gonçalves Maia,2022,RBRH,Associação Brasileira de Recursos Hídricos,10.1590/2318-0331.272220220055,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312022000100231&tlng=en,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312022000100231&tlng=en,Crossref | DOAJ,inter-basin water transfer,,0.7,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,The São Francisco inter-basin water transfer in Brazil: Tribulations of a megaproject through constraints and controversy,Philippe Roman,2017,Water Alternatives,Water Alternatives Association,,http://www.water-alternatives.org/index.php/alldoc/articles/vol10/v10issue2/361-a10-2-11/file,http://www.water-alternatives.org/index.php/alldoc/articles/vol10/v10issue2/361-a10-2-11/file,DOAJ,inter-basin water transfer,,0.75,live scholarly landing page
eligible,Global interbasin-transfer literature,Multi-objective optimization scheduling and inter-objective correlation analysis of large-scale inter-basin water transfer projects under a bidirectional lake operation model,Huayu Zhong | Shuyue Wu | Chaojun Sun | Guohua Fang | Xincai Wang,2026,Journal of Hydrology: Regional Studies,Elsevier,10.1016/j.ejrh.2026.103618,http://www.sciencedirect.com/science/article/pii/S2214581826005161,http://www.sciencedirect.com/science/article/pii/S2214581826005161,DOAJ,inter-basin water transfer,,0.75,resolving DOI
eligible,Global interbasin-transfer literature,Integrated inter-basin water transfer (IBWT) modeling for evaluating trade-offs in streamflow and water quality between recipient and donor basins,Yongwon Kim | Wonjin Kim | Soyoung Woo | Yonggwan Lee | Seongjoon Kim,2026,Journal of Hydrology: Regional Studies,Elsevier,10.1016/j.ejrh.2026.103350,http://www.sciencedirect.com/science/article/pii/S221458182600248X,http://www.sciencedirect.com/science/article/pii/S221458182600248X,DOAJ,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,"Soft power, discourse coalitions, and the proposed inter-basin water transfer between Lake Chad and the Congo River",Ramazan Caner Sayan | Nidhi Nagabhatla | Marvel Ekwuribe,2020,Water Alternatives,Water Alternatives Association,,http://www.water-alternatives.org/index.php/alldoc/articles/vol13/v13issue3/586-a13-3-4/file,http://www.water-alternatives.org/index.php/alldoc/articles/vol13/v13issue3/586-a13-3-4/file,DOAJ,inter-basin water transfer,,0.625,live scholarly landing page
hold,Global interbasin-transfer literature,Navigating Climate Adaptation Boundaries for the World's Largest Inter‐Basin Water Transfer Projects,Yu Li | Xiang Fu | Zhipeng Fan | Xiaodan Zhao | Yi Zheng,2026,Water Resources Research,Wiley,10.1029/2025WR041103,https://doi.org/10.1029/2025WR041103,https://doi.org/10.1029/2025WR041103,Crossref | DOAJ,inter-basin water transfer,,0.5238,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Estimating Potential of Virtual Water in an Inter-basin Water Transfer,H. D | M.H N | M. A,2014,مهندسی منابع آب,"Marvdasht Branch, Islamic Azad University",,https://wej.marvdasht.iau.ir/article_310_aa691771dcefb948dc0f887145840135.pdf,https://wej.marvdasht.iau.ir/article_310_aa691771dcefb948dc0f887145840135.pdf,DOAJ,inter-basin water transfer,,0.625,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Research on the Dispatching Rules of Inter-Basin Water Transfer Projects Based on the Two-Dimensional Scheduling Diagram,Siyu Cai | Long Sun | Qingtao Liu | Yi Ji | Hao Wang,2021,Frontiers in Earth Science,Frontiers Media S.A.,10.3389/feart.2021.664201,https://www.frontiersin.org/articles/10.3389/feart.2021.664201/full,https://www.frontiersin.org/articles/10.3389/feart.2021.664201/full,DOAJ,inter-basin water transfer,,0.6364,resolving DOI
eligible,Global interbasin-transfer literature,Derivation of conflict resolution rule-curves in multi-purpose multi-reservoir system for inter-basin water transfer during drought,S. Alahdin | H.R. Ghafouri | A. Haghighi,2018,Environmental Resources Research,Gorgan University of Agricultural Sciences and Natural Resources,10.22069/ijerr.2018.4147,https://ijerr.gau.ac.ir/article_4147_3f0acedbc3317b66be0702edbdecffa2.pdf,https://ijerr.gau.ac.ir/article_4147_3f0acedbc3317b66be0702edbdecffa2.pdf,DOAJ,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,Study on public willingness and incentive mechanism of ecological compensation for inter-basin water transfer in China in the carbon neutral perspective,Zhuoyue Peng | Hangrong Pu | Xi Huang | Rui Zheng | Lin Xu,2022,Ecological Indicators,Elsevier,10.1016/j.ecolind.2022.109397,http://www.sciencedirect.com/science/article/pii/S1470160X22008706,http://www.sciencedirect.com/science/article/pii/S1470160X22008706,DOAJ,inter-basin water transfer,,0.75,resolving DOI
hold,Global interbasin-transfer literature,Economic Valuation Framework in Inter-Basin Water Transfer Projects Based on Network Analysis Process (ANP) Method,Mohamad Hosnavi Atashgah | Mehdi Yasi | Ebrahim Amiri Takaldani,2021,مهندسی منابع آب,"Marvdasht Branch, Islamic Azad University",10.30495/wej.2021.4592,https://wej.marvdasht.iau.ir/article_4592_29d9a0eb57f2e418ffa83cac8dcc36fe.pdf,https://wej.marvdasht.iau.ir/article_4592_29d9a0eb57f2e418ffa83cac8dcc36fe.pdf,DOAJ,inter-basin water transfer,,0.6,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Multi-scenario optimization model for operation of inter-basin water transfer-supply systems considering cost–benefit relationships,Minglin Cao | Weifeng Liu | Bin Xu | Lachun Wang | Yang Zhang | Yu Zhang,2023,Journal of Water and Climate Change,IWA Publishing,10.2166/wcc.2023.259,http://jwcc.iwaponline.com/content/14/8/2872,http://jwcc.iwaponline.com/content/14/8/2872,DOAJ,inter-basin water transfer,,0.625,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,A Reservoir Operation Policy Using Inter-Basin Water Transfer for Maximizing Hydroelectric Benefits in Brazil,Anderson Passos de Aragão | Patrícia Teixeira Leite Asano | Ricardo de Andrade Lira Rabêlo,2020,Energies,MDPI AG,10.3390/en13102564,https://www.mdpi.com/1996-1073/13/10/2564,https://www.mdpi.com/1996-1073/13/10/2564,Crossref | DOAJ,inter-basin water transfer,,0.5314,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Investigating of Challenges and Opportunities of an Inter-Basin Water Transfer Project (Case Study: Desalination and Water Transfer from the Oman Sea to the Three Eastern Provinces of the Iran),Hadi Aghebat-Bekhair | Hamid Kardan Moghadam | Mohsen Pourreza-Bilondi,2022,Water Harvesting Research,University of Birjand,10.22077/jwhr.2023.5849.1075,https://jwhr.birjand.ac.ir/article_2372_b00af05652ec8ddd923ca2b87f918c67.pdf,https://jwhr.birjand.ac.ir/article_2372_b00af05652ec8ddd923ca2b87f918c67.pdf,DOAJ,inter-basin water transfer,,0.7692,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Payments for Ecological Services of Water Sources for Inter-basin Water Transfer Based on Ecological Asset Value,WANG Hui | XU Song | WANG Jiaqing | YU Xinpeng | LI Xingpin | GOU Shaojie,2026,Renmin Zhujiang,Editorial Office of Pearl River,,http://www.renminzhujiang.cn/thesisDetails#10.3969/j.issn.1001-9235.2026.05.012,http://www.renminzhujiang.cn/thesisDetails#10.3969/j.issn.1001-9235.2026.05.012,DOAJ,inter-basin water transfer,,0.625,live scholarly landing page
