شناسه ورودی,شناسه افزوده‌شده,نتیجه,عنوان ورودی,عنوان شاهد,ناشر ورودی,لینک ورودی,لینک معتبر/بهترین شاهد,نوع شاهد,امتیاز تطبیق,وضعیت DOI,نتیجه بررسی لینک‌ها,وضعیت جست‌وجوی مستقل,علت تصمیم
S513,,رد,بررسی تحلیلی شرایط موجود و تبیین وضعیت آینده بحران آب در حوضه زاینده‌رود,بسمه تعالي,مرکز پژوهش‌های مجلس شورای اسلامی,https://rc.majlis.ir/fa/report/show/1769047,https://report.mrc.ir/article_9047_67c3fb8962cff65f4c273060beb5cf29.pdf,live_pdf,0.4686,,"challenge, http_error, live_pdf",search_error,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S514,,رد,بررسی ابعاد بحران آب و پیامدهای کاهش ورودی به سد زاینده‌رود,مقاله بحران آب زاینده رود و پیامدهای آن,مرکز پژوهش‌های مجلس شورای اسلامی,https://rc.majlis.ir/fa/report/show/1657042,https://civilica.com/doc/2018466/,search_index,0.5267,,"challenge, challenge, live_pdf",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S515,,رد,انتقال آب بین‌حوضه‌ای و انتقال آب دریا؛ بررسی ظرفیت‌ها و پیامدها در فلات مرکزی,بسمه تعالي,مرکز پژوهش‌های مجلس شورای اسلامی,https://rc.majlis.ir/fa/report/show/1718026,https://report.mrc.ir/article_8026_e6872f5bbe75073f8c7cfb93de7f6f3a.pdf,live_pdf,0.2337,,"challenge, http_error, live_pdf",search_error,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S520,,رد,طرح ۹ ماده‌ای حوضه آبریز زاینده‌رود؛ راه حل بحران آب و الزامات اجرا,,فارس,https://farsnews.ir/Economy/1636707372000301337,,,,,"http_error, empty",search_error,لینک‌های ارائه‌شده در دسترس نبودند و منبع هم‌عنوان مستقلی پیدا نشد.
S524,,رد,مشاور طرح احیای زاینده‌رود: تعارض بین ذی‌نفعان بزرگترین چالش احیای حوضه است,مشاور طرح احیای زاینده رود : تعارض بین ذی نفعان بزرگترین چالش احیای ...,مدیرسا / رسانه مدیریت منابع آب,https://www.modirsa.ir/1401/05/29/%D9%85%D8%B4%D8%A7%D9%88%D8%B1-%D8%B7%D8%B1%D8%AD-%D8%A7%D8%AD%DB%8C%D8%A7%DB%8C-%D8%B2%D8%A7%DB%8C%D9%86%D8%AF%D9%87-%D8%B1%D9%88%D8%AF/,https://www.modirsa.ir/1401/05/29/%D9%85%D8%B4%D8%A7%D9%88%D8%B1-%D8%B7%D8%B1%D8%AD-%D8%A7%D8%AD%DB%8C%D8%A7%DB%8C-%D8%B2%D8%A7%DB%8C%D9%86%D8%AF%D9%87-%D8%B1%D9%88%D8%AF-%D8%AA%D8%B9%D8%A7%D8%B1%D8%B6-%D8%A8%DB%8C%D9%86-%D8%B0/,search_index,1.0,,"network_error, challenge",ok,عنوان در نمایه جست‌وجو دیده شد، اما لینک بازیابی‌شده باز نشد و جایگزین زنده‌ای پیدا نشد.
S528,,رد,تحلیل کیفیت مورفولوژیک کریدور رودخانه ای شهری زاینده رود در اصفهان با استفاده از روش MQI,,پایگاه اطلاعات علمی جهاد دانشگاهی (SID),https://www.sid.ir/paper/1928043/fa,,,,,"challenge, challenge",no_results,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S535,,رد,بررسی ابعاد اجتماعی و چالش‌های طرح انتقال آب بن-بروجن در حوضه زاینده‌رود (بستر یک کنش جمعی),,پایگاه اطلاعات علمی جهاد دانشگاهی (SID),https://www.sid.ir/paper/1360038/fa,,,,,"challenge, challenge, challenge",no_results,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S536,,رد,شناسایی و ارزیابی ریسک‌های پروژه آب‌رسانی بن – بروجن بر اساس رویکرد پایداری,ارزیابی و اولویت‌بندی ریسک پروژه‌های عمرانی با رویکرد ترکیبی دیمتل و ...,سیویلیکا (CIVILICA),https://civilica.com/doc/922432/,https://www.jsce.ir/article_119353.html,search_index,0.539,,"live_html, network_error",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S537,,رد,مدل‌سازی اثرات انتقال آب بین‌حوضه‌ای کارون به زاینده‌رود بر شاخص‌های کیفی آب پایین‌دست,خشکی زاینده رود و انتقال بین حوضه ای آب کارون به زاینده رود,سیویلیکا (CIVILICA),https://civilica.com/doc/1429810/,https://civilica.com/doc/505490/,search_index,0.58,,"live_html, http_error",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S538,,رد,بررسی سناریوهای تخصیص آب بین‌حوضه‌ای با رویکرد پویایی‌شناسی سیستم‌ها در حوضه‌های کارون و زاینده‌رود,مدیریت منابع آب با استفاده از پویایی شناسی سیستم ها,پایگاه اطلاعات علمی جهاد دانشگاهی (SID) / نشریه تحقیقات منابع آب ایران,https://www.sid.ir/paper/1032481/fa,https://civilica.com/doc/2119514/,search_index,0.7375,,"challenge, challenge",ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
S541,,رد,انتقال آب از خوزستان به اصفهان؛ منطق بحران و سیاست‌های آبی,یک متخصص آب با اشاره به طرح های انتقال آب از خوزستان به ...,جامعه اندیشکده‌های ایران,https://iranthinktanks.com/water-transfer-from-khuzestan-to-isfahan/,https://www.hamshahrionline.ir/news/995074/%DB%8C%DA%A9-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D8%A2%D8%A8-%D8%A8%D8%A7-%D8%A7%D8%B4%D8%A7%D8%B1%D9%87-%D8%A8%D9%87-%D8%B7%D8%B1%D8%AD-%D9%87%D8%A7%DB%8C-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%D8%A2%D8%A8-%D8%A7%D8%B2-%D8%AE%D9%88%D8%B2%D8%B3%D8%AA%D8%A7%D9%86-%D8%A8%D9%87-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86,search_index,0.34,,"http_error, http_error",ok,لینک‌های ارائه‌شده در دسترس نبودند و منبع هم‌عنوان مستقلی پیدا نشد.
S542,,رد,انتقال آب بهشت‌آباد؛ راه‌حل نهایی یا تشدید تنش بین‌استانی میان اصفهان و چهارمحال,تحلیلی بر انتقال آب میان حوضه ای در استان های اصفهان و چهارمحال و ...,ایمنا,https://www.imna.ir/news/538053/,https://ensani.ir/fa/article/580810/%D8%AA%D8%AD%D9%84%DB%8C%D9%84%DB%8C-%D8%A8%D8%B1-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%D8%A2%D8%A8-%D9%85%DB%8C%D8%A7%D9%86-%D8%AD%D9%88%D8%B6%D9%87-%D8%A7%DB%8C-%D8%AF%D8%B1-%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D9%87%D8%A7%DB%8C-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D9%88-%DA%86%D9%87%D8%A7%D8%B1%D9%85%D8%AD%D8%A7%D9%84-%D9%88-%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C,search_index,0.72,,live_html,ok,صفحه‌ها یا نتایج جست‌وجو با عنوان/اطلاعات منبع تطبیق محتوایی کافی نداشتند.
